CODE_LIGNE,LIB_LIGNE,origin,destination
975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,Paris-St-Lazare,St-Germain-en-Laye
975900,Ligne de Nanterre-Université à Sartrouville,Nanterre-Université,Sartrouville
977000,Ligne des Invalides à Versailles-Rive-Gauche,,
979000,Ligne de Paris-Est à Pont-Cardinet (EOLE),Paris-Est,Pont-Cardinet (EOLE)
981000,Ligne de Paris-Nord à Paris-Gare-de-Lyon (RER ligne D),Paris-Nord,Paris-Gare-de-Lyon (RER ligne D)
983000,Ligne des Invalides à Quai-d'Orsay,,
984000,Ligne de Quai-d'Orsay à Paris-Austerlitz,Quai-d'Orsay,Paris-Austerlitz
985000,Ligne de Choisy-le-Roi à Massy-Verrières,Choisy-le-Roi,Massy-Verrières
988000,Ligne de Grigny à Corbeil-Essonnes,Grigny,Corbeil-Essonnes
990000,Ligne de la grande ceinture de Paris,,
990331,Raccordement marché gare de Rungis voie MG,,
991300,Raccordement de Gagny-Tronc-Commun,,
991301,Raccordement de Gagny-Nord,,
991302,Raccordement de Gagny-Sud,,
992300,Raccordement du Bas-Martineau,,
